date	state	fips_state	daily_cases	cumsum_cases	daily_hospitalizations	cumsum_hospitalizations	daily_deaths	cumsum_deaths	daily_recovered	cumsum_recovered
2020-05-01	AR	5	66.0	3321.0	12.0	414.0	3.0	64.0	668.0	1973.0
2020-05-02	AR	5	51.0	3372.0	0.0	414.0	9.0	73.0	14.0	1987.0
2020-05-03	AR	5	59.0	3431.0	13.0	427.0	3.0	76.0	12.0	1999.0
2020-05-04	AR	5	27.0	3458.0	11.0	438.0	5.0	81.0	17.0	2016.0
2020-05-05	AR	5	38.0	3496.0	15.0	453.0	2.0	83.0	25.0	2041.0
2020-05-06	AR	5	72.0	3568.0	0.0	453.0	2.0	85.0	68.0	2109.0
2020-05-07	AR	5	43.0	3611.0	9.0	462.0	2.0	87.0	14.0	2123.0
2020-05-08	AR	5	83.0	3694.0	4.0	466.0	1.0	88.0	36.0	2159.0
2020-05-09	AR	5	53.0	3747.0	5.0	471.0	0.0	88.0	809.0	2968.0
2020-05-10	AR	5	0.0	3747.0	0.0	471.0	0.0	88.0	0.0	2968.0
2020-05-11	AR	5	287.0	4034.0	9.0	480.0	6.0	94.0	181.0	3149.0
2020-05-12	AR	5	130.0	4164.0	5.0	485.0	1.0	95.0	71.0	3220.0
2020-05-13	AR	5	0.0	4164.0	12.0	497.0	0.0	95.0	0.0	3220.0
2020-05-14	AR	5	72.0	4236.0	12.0	509.0	2.0	97.0	57.0	3277.0
2020-05-15	AR	5	227.0	4463.0	11.0	520.0	1.0	98.0	113.0	3390.0
2020-05-16	AR	5	115.0	4578.0	0.0	520.0	0.0	98.0	82.0	3472.0
2020-05-17	AR	5	181.0	4759.0	0.0	520.0	0.0	98.0	118.0	3590.0
2020-05-18	AR	5	54.0	4813.0	10.0	530.0	2.0	100.0	55.0	3645.0
2020-05-19	AR	5	110.0	4923.0	5.0	535.0	2.0	102.0	94.0	3739.0
2020-05-20	AR	5	80.0	5003.0	0.0	535.0	5.0	107.0	113.0	3852.0
2020-05-21	AR	5	455.0	5458.0	0.0	535.0	3.0	110.0	63.0	3915.0
2020-05-22	AR	5	154.0	5612.0	49.0	584.0	3.0	113.0	114.0	4029.0
2020-05-23	AR	5	0.0	5612.0	6.0	590.0	0.0	113.0	0.0	4029.0
2020-05-24	AR	5	310.0	5922.0	8.0	598.0	3.0	116.0	119.0	4148.0
2020-05-25	AR	5	107.0	6029.0	7.0	605.0	1.0	117.0	101.0	4249.0
2020-05-26	AR	5	151.0	6180.0	12.0	617.0	2.0	119.0	83.0	4332.0
2020-05-27	AR	5	97.0	6277.0	10.0	627.0	1.0	120.0	92.0	4424.0
2020-05-28	AR	5	261.0	6538.0	13.0	640.0	0.0	120.0	159.0	4583.0
