time,I
1.0,4.0
2.0,7.0
3.0,11.0
4.0,14.0
5.0,30.0
6.0,49.0
7.0,72.0
8.0,90.0
9.0,183.0
10.0,207.0
11.0,285.0
12.0,440.0
13.0,563.0
14.0,605.0
15.0,653.0
16.0,531.0
17.0,776.0
18.0,613.0
19.0,571.0
20.0,724.0
21.0,685.0
22.0,535.0
23.0,483.0
24.0,615.0
25.0,626.0
26.0,573.0
27.0,454.0
28.0,454.0
29.0,448.0
30.0,476.0
31.0,442.0
32.0,462.0
33.0,470.0
34.0,358.0
35.0,328.0
36.0,339.0
37.0,439.0
38.0,324.0
39.0,273.0
40.0,344.0
41.0,355.0
42.0,308.0
43.0,286.0
44.0,248.0
45.0,263.0
46.0,230.0
47.0,265.0
48.0,277.0
49.0,242.0
50.0,206.0
51.0,239.0
52.0,187.0
53.0,210.0
54.0,189.0
55.0,216.0
56.0,204.0
57.0,202.0
58.0,178.0
59.0,184.0
60.0,129.0
61.0,179.0
62.0,146.0
63.0,144.0
64.0,125.0
65.0,126.0
66.0,106.0
67.0,117.0
68.0,94.0
69.0,108.0
70.0,114.0
71.0,109.0
72.0,91.0
73.0,80.0
74.0,108.0
75.0,100.0
76.0,72.0
77.0,73.0
78.0,86.0
79.0,74.0
80.0,60.0
81.0,71.0
82.0,65.0
83.0,71.0
84.0,67.0
85.0,61.0
86.0,66.0
87.0,60.0
88.0,53.0
89.0,41.0
90.0,55.0
91.0,54.0
92.0,40.0
93.0,36.0
94.0,48.0
95.0,40.0
96.0,35.0
97.0,38.0
98.0,35.0
99.0,32.0
100.0,33.0
101.0,28.0
102.0,30.0
103.0,26.0
104.0,25.0
105.0,26.0
106.0,22.0
107.0,26.0
108.0,19.0
109.0,27.0
110.0,27.0
111.0,22.0
112.0,24.0
113.0,21.0
114.0,23.0
115.0,18.0
116.0,15.0
117.0,18.0
118.0,16.0
119.0,18.0
120.0,16.0
